Round: 1, Role: server, Operation: preparation_start, Message: Central Server Preparation Node started.
Round: 2, Role: participant3, Operation: upload_model_update_success, Message: Participant Node participant3 model update uploaded successfully.
Round: 2, Role: participant3, Operation: training_node_complete, Message: Participant Node participant3 Training Node Finished Round: 2
Round: 2, Role: server, Operation: aggregation_start, Message: Central Server Aggregation Node started.
Round: 2, Role: server, Operation: download_global_model_start, Message: Central Server starts downloading global model.
Round: 2, Role: server, Operation: download_global_model_success, Message: Global model downloaded successfully.
Round: 2, Role: server, Operation: download_participant_updates_start, Message: Central Server starts downloading participant model updates.
Round: 2, Role: server, Operation: download_participant_updates_success, Message: Participant model updates downloaded successfully.
Round: 2, Role: server, Operation: aggregation_model_start, Message: Central Server starts aggregating model updates.
Round: 2, Role: server, Operation: aggregation_model_success, Message: Global model aggregation finished.
Round: 2, Role: server, Operation: upload_aggregated_model_start, Message: Central Server starts uploading aggregated global model.
Round: 2, Role: server, Operation: upload_aggregated_model_success, Message: Aggregated global model uploaded successfully.
Round: 2, Role: server, Operation: aggregation_complete, Message: Central Server Aggregation Node Completed Round: 2
Round: 2, Role: server, Operation: evaluation_start, Message: Central Server Evaluation Node started.
Round: 2, Role: server, Operation: download_global_model_start, Message: Central Server starts downloading global model.
Round: 2, Role: server, Operation: download_global_model_success, Message: Global model downloaded successfully.
Round: 2, Role: server, Operation: evaluation_model_start, Message: Central Server starts evaluating global model.
Round: 2, Role: server, Operation: evaluation_model_success, Message: Global model evaluation finished.
Round: 2, Role: server, Operation: evaluation_complete, Message: Central Server Evaluation Node Completed Round: 2
